slug,domain,xserver_path,xserver_db_name,dell_db_name
fx-trader-life,fx-trader-life.com,fx-trader-life.com/public_html,gwpbk492_wp3,wp_fx_trader_life
webmakeprofit,webmakeprofit.org,webmakeprofit.org/public_html,gwpbk492_wt1,wp_webmakeprofit
webmakesprofit,webmakesprofit.com,webmakesprofit.com/public_html,gwpbk492_wt4,wp_webmakesprofit
toyota-phv,toyota-phv.jp,toyota-phv.jp/public_html,gwpbk492_wt5,wp_toyota_phv
kuma8088-cameramanual,kuma8088.com,kuma8088.com/public_html/cameramanual,gwpbk492_wp7,wp_kuma8088_cameramanual
fx-trader-life-mfkc,fx-trader-life.com,fx-trader-life.com/public_html/MFKC,gwpbk492_62q47,wp_fx_trader_life_mfkc
fx-trader-life-4line,fx-trader-life.com,fx-trader-life.com/public_html/4-line-trade,gwpbk492_e1rb6,wp_fx_trader_life_4line
fx-trader-life-lp,fx-trader-life.com,fx-trader-life.com/public_html/lp,gwpbk492_x9a11,wp_fx_trader_life_lp
webmakeprofit-coconala,webmakeprofit.org,webmakeprofit.org/public_html/coconala,gwpbk492_bxb90,wp_webmakeprofit_coconala
kuma8088-elementordemo1,kuma8088.com,gwpbk492.xsrv.jp/public_html/elementordemo1,gwpbk492_38ogv,wp_kuma8088_elementordemo1
kuma8088-elementordemo02,kuma8088.com,gwpbk492.xsrv.jp/public_html/elementordemo02,gwpbk492_h2xks,wp_kuma8088_elementordemo02
kuma8088-elementor-demo-03,kuma8088.com,gwpbk492.xsrv.jp/public_html/elementor-demo-03,gwpbk492_rxhlz,wp_kuma8088_elementordemo03
kuma8088-elementor-demo-04,kuma8088.com,gwpbk492.xsrv.jp/public_html/elementor-demo-04,gwpbk492_o0vyw,wp_kuma8088_elementordemo04
kuma8088-ec02test,kuma8088.com,gwpbk492.xsrv.jp/public_html/ec02test,gwpbk492_koqr9,wp_kuma8088_ec02
kuma8088-cameramanual-gwpbk492,kuma8088.com,gwpbk492.xsrv.jp/public_html/cameramanual,gwpbk492_c51ex,wp_kuma8088_cameramanual
